item,luminance
N1,231
N2,562
N3,723
N4,501
N5,436
N6,472
N7,657
N8,475
N9,571
N10,494
N11,589
N12,750
N13,147
N14,579
N15,247
N16,368
N17,401
N18,403
N19,418
N20,517
N21,436
N22,325
N23,338
N24,443
N25,296
N26,522
N27,817
N28,408
H1,855
H2,604
H3,615
H4,891
H5,381
H6,684
H7,484
H8,635
H9,683
H10,567
H11,629
H12,412
H13,235
H14,399
H15,525
H16,226
H17,429
H18,781
H19,640
H20,310
H21,277
H22,392
H23,785
H24,658
H25,296
H26,459
H27,449
H28,398
F1,404
F2,370
F3,339
F4,207
F5,691
F6,225
F7,589
F8,599
F9,201
F10,847
F11,286
F12,507
F13,461
F14,156
F15,194
F16,600
F17,414
F18,270
F19,681
F20,508
F21,587
F22,427
F23,614
F24,429
F25,456
F26,479
F27,458
F28,445
